status,physical_status,set,port_geometry,interface_parallelism,n_air,n_glass,n_water,camera_to_inner_interface_m,glass_thickness_m,input_correspondence_count,valid_count,failure_count,z_left_rig_median,z_left_rig_p05,z_left_rig_p95,range_from_left_camera_median,ray_gap_median,ray_angle_deg_median,native_dry_z_median_for_same_rows,median_ratio_to_native_dry_z
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.33,0.005,0.003,50,50,0,3.140709526956201,3.0124924279716665,3.2258471546915257,3.313408809691457,0.012376384988625956,1.9728761925054616,2.123261608735686,1.4791910304573175
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.33,0.005,0.005,50,50,0,3.140938994530962,3.0127556486799483,3.226079501943574,3.313618221540068,0.012376277719936326,1.9728761925054616,2.123261608735686,1.479299103609404
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.33,0.005,0.008,50,50,0,3.141283195893103,3.01315047974237,3.226428022821648,3.313932342408968,0.012376116816902184,1.9728761925054616,2.123261608735686,1.4794612133375342
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.33,0.005,0.01,50,50,0,3.1415126634678643,3.0134137004506503,3.2266603700736978,3.314141758385102,0.012376009548212673,1.9728761925054616,2.123261608735686,1.479569286489621
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.33,0.01,0.003,50,50,0,3.1383468660195755,3.009438695739513,3.2234541582162453,3.31131249078296,0.012378557914029732,1.9728761925054616,2.123261608735686,1.4780782797124705
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.33,0.01,0.005,50,50,0,3.1385763335943366,3.0097019164477943,3.223686505468295,3.311521886885424,0.012378450645340235,1.9728761925054616,2.123261608735686,1.4781863528645574
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.33,0.01,0.008,50,50,0,3.1389205349564775,3.0100967475102154,3.2240350263463684,3.3118359841407963,0.012378289742305983,1.9728761925054616,2.123261608735686,1.4783484625926873
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.33,0.01,0.01,50,50,0,3.139150002531239,3.010359968218497,3.2242673735984178,3.312045384378373,0.012378182473616502,1.9728761925054616,2.123261608735686,1.4784565357447743
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.33,0.02,0.003,50,50,0,3.133621544146325,3.0033312312752054,3.2186681652656866,3.3071203037320034,0.012382903764837349,1.9728761925054616,2.123261608735686,1.4758527782227768
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.33,0.02,0.005,50,50,0,3.133851011721086,3.003594451983486,3.2189005125177355,3.307329668253753,0.01238279649614784,1.9728761925054616,2.123261608735686,1.4759608513748637
