status,parameter_provenance,n_air,n_glass,n_water,camera_to_inner_interface_m,glass_thickness_m,field_band,disparity_band,correspondence_count,z_left_camera_median,z_left_camera_mean,ray_gap_median,relative_to_custom_pinhole_median,relative_to_custom_pinhole_p95
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.003,central,far_disparity,39,3.012813773474518,3.052373692938601,0.002257973004728931,0.2865181838123183,0.29029684702723824
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.003,central,mid_disparity,104,2.847390179356047,2.847629479391718,0.0016841747277543595,0.28712972543540305,0.29171287553038244
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.003,central,near_disparity,96,2.734551235623472,2.742865507550358,0.0017214421627884525,0.2901577484769915,0.29594913692255864
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.003,mid_fov,far_disparity,415,3.033840445468485,3.1137118834296196,0.0014780382503768925,0.29939103130690503,0.32043417665101265
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.003,mid_fov,mid_disparity,335,2.8564643379309285,2.8561966625636006,0.0016897535473486772,0.2992649342086524,0.32147138630027583
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.003,mid_fov,near_disparity,429,2.7478361932028847,2.7503626695098746,0.001908923486826599,0.3044940020428435,0.32502326822605426
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.003,near_edge,far_disparity,339,3.112945673566462,3.230367105284654,0.0016145947200534336,0.3334397767767756,0.3894777417899567
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.003,near_edge,mid_disparity,353,2.8784007128149325,2.8774455055394075,0.0011473382082965932,0.3184507155812246,0.3422790671377228
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.003,near_edge,near_disparity,268,2.772187499886835,2.7713905147269706,0.0036774614131632874,0.3216452824816878,0.43625568751236393
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.005,central,far_disparity,39,3.012977498342902,3.0525377553348996,0.0022579709161188845,0.28658812894180774,0.29037029330495695
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.005,central,mid_disparity,104,2.84755700924607,2.84779518619592,0.0016841817767432828,0.28720489755428313,0.2917896009898144
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.005,central,near_disparity,96,2.7347197800757534,2.743032569568399,0.0017214195051735344,0.2902374888490098,0.29603073870985186
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.005,mid_fov,far_disparity,415,3.034013500738615,3.1138819555192554,0.0014780500609431345,0.2994648362097132,0.320514554745829
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.005,mid_fov,mid_disparity,335,2.8566377019050457,2.8563681441361357,0.0016897959300381717,0.29934323672917174,0.32155302596584506
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.005,mid_fov,near_disparity,429,2.7480156037443146,2.750535445457823,0.001908975603935689,0.3045763002149271,0.32511123893451643
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.005,near_edge,far_disparity,339,3.1131348135467043,3.2305481525742725,0.0016147845795810867,0.3335214802895008,0.38955886711362503
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.005,near_edge,mid_disparity,353,2.8785745616224965,2.8776227889872934,0.0011470234239791058,0.3185317686074476,0.34236328870344795
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.005,near_edge,near_disparity,268,2.772363135745029,2.7715705913865993,0.0036776140740079613,0.3217290325549147,0.436362908685639
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.008,central,far_disparity,39,3.0132230856454774,3.0527838489293484,0.002257967783203815,0.28669304663604067,0.2904804627215357
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.008,central,mid_disparity,104,2.8478072540811024,2.8480437464022237,0.0016841923502266642,0.2873176557326035,0.291904689178962
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.008,central,near_disparity,96,2.7349725967541745,2.7432831625954606,0.001721385518751165,0.29035709940703736,0.29615314139079163
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.008,mid_fov,far_disparity,415,3.03427308364381,3.1141370636537102,0.0014780677767924817,0.2995755435639258,0.3206351218880533
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.008,mid_fov,mid_disparity,335,2.8568977478662214,2.8566253664949395,0.0016898595040725228,0.29946069050994906,0.3216754854641989
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.008,mid_fov,near_disparity,429,2.748284719556458,2.7507946093797453,0.0019090537795993954,0.3046997474730522,0.3252431949972101
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.008,near_edge,far_disparity,339,3.113418523517068,3.2308197235086986,0.0016150693688725306,0.33364403555858857,0.38968055509912797
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.008,near_edge,mid_disparity,353,2.878835334833844,2.8778887141591225,0.0011465512475027477,0.3186533481467815,0.34248962105203595
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.008,near_edge,near_disparity,268,2.7726265895323183,2.771840706376043,0.003677843065274894,0.3218546576647555,0.43652374044555287
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.01,central,far_disparity,39,3.013386810513861,3.052947911325648,0.002257965694593769,0.2867629917655301,0.29055390899925515
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.01,central,mid_disparity,104,2.847974083971124,2.848209453206427,0.0016841993992155859,0.28739282785148335,0.291981414638394
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.01,central,near_disparity,96,2.735141141206456,2.743450224613501,0.001721362861136247,0.2904368397790561,0.2962347431780853
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.01,mid_fov,far_disparity,415,3.0344461389139408,3.114307135743347,0.001478079587358723,0.29964934846673397,0.3207154999828698
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.01,mid_fov,mid_disparity,335,2.857071111840339,2.856796848067474,0.0016899018867620884,0.2995389930304677,0.3217571251297684
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.01,mid_fov,near_disparity,429,2.7484641300978865,2.7509673853276944,0.001909105896708601,0.3047820456451362,0.3253311657056724
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.01,near_edge,far_disparity,339,3.1136076634973113,3.231000770798317,0.0016152592284001475,0.3337257390713142,0.3897616804227967
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.01,near_edge,mid_disparity,353,2.8790091836414082,2.878065997607009,0.0011462364631852201,0.31873440117300444,0.34257384261776125
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.005,0.01,near_edge,near_disparity,268,2.772802225390512,2.7720207830356713,0.003677995726119549,0.321938407737983,0.43663096161882897
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.003,central,far_disparity,39,3.0113902502063343,3.0509437032367477,0.002257995200410047,0.28591046144573684,0.2896512660011865
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.003,central,mid_disparity,104,2.845930215589333,2.846187010674773,0.0016841052339029742,0.286475976874912,0.2910380244296636
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.003,central,near_disparity,96,2.733072622273614,2.741408228597057,0.0017217035075604201,0.28946629026118786,0.29522847103315514
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.003,mid_fov,far_disparity,415,3.032270319469254,3.112183556090759,0.0014776453802998624,0.29873008694629566,0.3196913997844173
